journal	year	corpus	n_matches	n_articles
American Journal of Theology & Philosophy	1980	ambiguous	1	1
American Journal of Theology & Philosophy	1981	nt	7	2
American Journal of Theology & Philosophy	1983	nt	1	1
American Journal of Theology & Philosophy	1985	bekker	1	1
American Journal of Theology & Philosophy	1986	nt	2	1
American Journal of Theology & Philosophy	1986	stephanus	1	1
American Journal of Theology & Philosophy	1987	stephanus	1	1
American Journal of Theology & Philosophy	1988	nt	5	1
American Journal of Theology & Philosophy	1989	nt	4	1
American Journal of Theology & Philosophy	1990	bekker	29	1
American Journal of Theology & Philosophy	1991	ambiguous	1	1
American Journal of Theology & Philosophy	1991	stephanus	2	1
American Journal of Theology & Philosophy	1992	ambiguous	1	1
American Journal of Theology & Philosophy	1992	nt	3	1
American Journal of Theology & Philosophy	1993	ambiguous	1	1
American Journal of Theology & Philosophy	1993	stephanus	3	2
American Journal of Theology & Philosophy	1994	ambiguous	1	1
American Journal of Theology & Philosophy	1995	ambiguous	15	1
American Journal of Theology & Philosophy	1995	nt	1	1
American Journal of Theology & Philosophy	1995	stephanus	17	1
American Journal of Theology & Philosophy	1997	stephanus	1	1
American Journal of Theology & Philosophy	2000	ambiguous	21	1
American Journal of Theology & Philosophy	2000	bekker	3	1
American Journal of Theology & Philosophy	2000	stephanus	22	2
American Journal of Theology & Philosophy	2001	ambiguous	1	1
American Journal of Theology & Philosophy	2002	ambiguous	1	1
American Journal of Theology & Philosophy	2002	nt	2	1
American Journal of Theology & Philosophy	2004	stephanus	4	1
American Journal of Theology & Philosophy	2005	ambiguous	1	1
American Journal of Theology & Philosophy	2006	ambiguous	2	2
American Journal of Theology & Philosophy	2007	stephanus	10	1
American Journal of Theology & Philosophy	2008	ambiguous	4	2
American Journal of Theology & Philosophy	2008	nt	2	1
American Journal of Theology & Philosophy	2008	stephanus	1	1
American Journal of Theology & Philosophy	2009	nt	2	1
American Journal of Theology & Philosophy	2015	bekker	2	1
American Journal of Theology & Philosophy	2016	ambiguous	1	1
American Journal of Theology & Philosophy	2017	ambiguous	1	1
American Journal of Theology & Philosophy	2017	nt	1	1
American Journal of Theology & Philosophy	2018	bekker	1	1
American Journal of Theology & Philosophy	2018	stephanus	1	1
American Journal of Theology & Philosophy	2019	ambiguous	1	1
American Journal of Theology & Philosophy	2022	bekker	2	1
Archivio di Filosofia	2007	ambiguous	13	7
Archivio di Filosofia	2007	bekker	1	1
Archivio di Filosofia	2007	homer	1	1
Archivio di Filosofia	2007	stephanus	4	2
Archivio di Filosofia	2008	ambiguous	20	5
Archivio di Filosofia	2008	bekker	1	1
Archivio di Filosofia	2008	homer	1	1
Archivio di Filosofia	2008	nt	4	3
Archivio di Filosofia	2008	stephanus	4	2
Archivio di Filosofia	2009	ambiguous	1	1
Archivio di Filosofia	2009	bekker	1	1
Archivio di Filosofia	2009	stephanus	2	2
Archivio di Filosofia	2010	ambiguous	18	9
Archivio di Filosofia	2010	bekker	2	2
Archivio di Filosofia	2010	stephanus	3	2
Archivio di Filosofia	2011	ambiguous	9	7
Archivio di Filosofia	2011	bekker	5	2
Archivio di Filosofia	2011	stephanus	1	1
Archivio di Filosofia	2012	ambiguous	4	3
Archivio di Filosofia	2012	bekker	10	3
Archivio di Filosofia	2012	stephanus	5	4
Archivio di Filosofia	2013	ambiguous	2	2
Archivio di Filosofia	2013	bekker	22	5
Archivio di Filosofia	2013	homer	2	1
Archivio di Filosofia	2013	stephanus	2	1
Archivio di Filosofia	2014	ambiguous	57	7
Archivio di Filosofia	2014	bekker	4	3
Archivio di Filosofia	2014	nt	2	2
Archivio di Filosofia	2014	stephanus	25	5
Archivio di Filosofia	2015	ambiguous	6	4
Archivio di Filosofia	2015	bekker	2	2
Archivio di Filosofia	2015	stephanus	8	5
Archivio di Filosofia	2016	ambiguous	86	15
Archivio di Filosofia	2016	bekker	49	8
Archivio di Filosofia	2016	stephanus	65	8
Archivio di Filosofia	2017	ambiguous	13	5
Archivio di Filosofia	2017	bekker	3	1
Archivio di Filosofia	2017	homer	4	3
Archivio di Filosofia	2017	stephanus	3	2
Archivio di Filosofia	2018	ambiguous	46	9
Archivio di Filosofia	2018	bekker	9	3
Archivio di Filosofia	2018	stephanus	13	8
Archivio di Filosofia	2019	ambiguous	12	3
Archivio di Filosofia	2019	bekker	1	1
Archivio di Filosofia	2019	homer	1	1
Archivio di Filosofia	2019	stephanus	31	5
Archivio di Filosofia	2020	ambiguous	11	8
Archivio di Filosofia	2020	bekker	8	3
Archivio di Filosofia	2020	homer	1	1
Archivio di Filosofia	2020	stephanus	10	3
Biblica	1920	ambiguous	4	3
Biblica	1920	stephanus	13	5
Biblica	1921	ambiguous	40	11
Biblica	1921	stephanus	13	3
Biblica	1922	ambiguous	41	15
Biblica	1922	homer	1	1
Biblica	1922	stephanus	3	3
Biblica	1923	ambiguous	13	8
Biblica	1923	stephanus	16	4
Biblica	1924	ambiguous	7	4
Biblica	1924	stephanus	6	2
Biblica	1925	ambiguous	11	9
Biblica	1925	homer	1	1
Biblica	1925	stephanus	3	3
Biblica	1926	ambiguous	111	6
Biblica	1926	bekker	1	1
Biblica	1926	homer	1	1
Biblica	1926	stephanus	72	10
Biblica	1927	ambiguous	19	10
Biblica	1927	homer	1	1
Biblica	1927	stephanus	10	5
Biblica	1928	ambiguous	24	4
Biblica	1928	bekker	1	1
Biblica	1928	homer	1	1
Biblica	1928	stephanus	1	1
Biblica	1929	ambiguous	23	5
Biblica	1929	bekker	1	1
Biblica	1929	homer	1	1
Biblica	1929	stephanus	4	3
Biblica	1930	ambiguous	17	7
Biblica	1930	homer	2	2
Biblica	1930	stephanus	8	5
Biblica	1931	ambiguous	51	5
Biblica	1931	stephanus	8	7
Biblica	1932	ambiguous	33	23
Biblica	1932	stephanus	6	5
Biblica	1933	ambiguous	35	11
Biblica	1933	homer	1	1
Biblica	1933	stephanus	7	5
Biblica	1934	ambiguous	91	11
Biblica	1934	homer	1	1
Biblica	1934	stephanus	12	4
Biblica	1935	ambiguous	157	6
Biblica	1935	bekker	1	1
Biblica	1935	stephanus	45	7
Biblica	1936	ambiguous	18	9
Biblica	1936	bekker	2	2
Biblica	1936	stephanus	7	4
Biblica	1937	ambiguous	33	11
Biblica	1937	bekker	2	2
Biblica	1937	stephanus	8	5
Biblica	1938	ambiguous	23	12
Biblica	1938	stephanus	10	9
Biblica	1939	ambiguous	8	7
Biblica	1939	stephanus	5	4
Biblica	1940	ambiguous	59	12
Biblica	1940	bekker	7	1
Biblica	1940	homer	1	1
Biblica	1940	stephanus	6	4
Biblica	1941	ambiguous	13	8
Biblica	1941	stephanus	11	5
Biblica	1942	ambiguous	8	5
Biblica	1942	homer	1	1
Biblica	1942	stephanus	7	3
Biblica	1943	ambiguous	47	7
Biblica	1943	homer	3	1
Biblica	1943	stephanus	15	5
Biblica	1944	ambiguous	16	5
Biblica	1944	stephanus	12	4
Biblica	1945	ambiguous	9	5
Biblica	1945	bekker	1	1
Biblica	1945	stephanus	5	1
Biblica	1946	ambiguous	32	13
Biblica	1946	bekker	1	1
Biblica	1946	homer	1	1
Biblica	1946	stephanus	4	4
Biblica	1947	ambiguous	16	8
Biblica	1947	homer	1	1
Biblica	1947	stephanus	23	5
Biblica	1948	ambiguous	78	17
Biblica	1948	stephanus	10	7
Biblica	1949	ambiguous	170	16
Biblica	1949	bekker	225	6
Biblica	1949	homer	3	2
Biblica	1949	stephanus	31	6
Biblica	1950	ambiguous	1556	17
Biblica	1950	homer	7	3
Biblica	1950	stephanus	1041	12
Biblica	1951	ambiguous	1494	24
Biblica	1951	bekker	5	4
Biblica	1951	homer	1	1
Biblica	1951	stephanus	1162	8
Biblica	1952	ambiguous	109	16
Biblica	1952	bekker	88	5
Biblica	1952	nt	1	1
Biblica	1952	stephanus	44	9
Biblica	1953	ambiguous	182	24
Biblica	1953	bekker	197	5
Biblica	1953	homer	1	1
Biblica	1953	stephanus	29	11
Biblica	1954	ambiguous	185	19
Biblica	1954	bekker	192	4
Biblica	1954	homer	1	1
Biblica	1954	stephanus	17	10
Biblica	1955	ambiguous	281	21
Biblica	1955	bekker	112	2
Biblica	1955	homer	4	1
Biblica	1955	stephanus	58	7
Biblica	1956	ambiguous	119	16
Biblica	1956	bekker	137	4
Biblica	1956	stephanus	5	5
Biblica	1957	ambiguous	179	26
Biblica	1957	bekker	215	5
Biblica	1957	homer	2	2
Biblica	1957	stephanus	30	9
Biblica	1958	ambiguous	201	26
Biblica	1958	bekker	285	5
Biblica	1958	homer	1	1
Biblica	1958	stephanus	39	11
Biblica	1959	ambiguous	308	29
Biblica	1959	bekker	474	5
Biblica	1959	homer	4	2
Biblica	1959	nt	3	2
Biblica	1959	stephanus	101	16
Biblica	1960	ambiguous	285	21
Biblica	1960	bekker	563	4
Biblica	1960	stephanus	79	8
Biblica	1961	ambiguous	284	21
Biblica	1961	bekker	867	6
Biblica	1961	homer	1	1
Biblica	1961	stephanus	78	10
Biblica	1962	ambiguous	481	21
Biblica	1962	bekker	1149	5
Biblica	1962	stephanus	142	9
Biblica	1963	ambiguous	601	33
Biblica	1963	bekker	918	6
Biblica	1963	stephanus	163	11
Biblica	1964	ambiguous	557	24
Biblica	1964	bekker	1873	6
Biblica	1964	nt	1	1
Biblica	1964	stephanus	195	17
Biblica	1965	ambiguous	802	29
Biblica	1965	bekker	2655	6
Biblica	1965	stephanus	345	8
Biblica	1966	ambiguous	662	23
Biblica	1966	bekker	992	5
Biblica	1966	stephanus	197	13
Biblica	1967	ambiguous	495	25
Biblica	1967	bekker	1079	7
Biblica	1967	homer	2	1
Biblica	1967	nt	1	1
Biblica	1967	stephanus	156	15
Biblica	1968	ambiguous	304	35
Biblica	1968	bekker	3	2
Biblica	1968	nt	10	3
Biblica	1968	stephanus	32	8
Biblica	1969	ambiguous	174	37
Biblica	1969	bekker	1	1
Biblica	1969	stephanus	36	15
Biblica	1970	ambiguous	215	40
Biblica	1970	bekker	6	2
Biblica	1970	homer	1	1
Biblica	1970	stephanus	70	14
Biblica	1971	ambiguous	249	37
Biblica	1971	bekker	2	2
Biblica	1971	stephanus	76	7
Biblica	1972	ambiguous	419	34
Biblica	1972	nt	1	1
Biblica	1972	stephanus	31	11
Biblica	1973	ambiguous	234	27
Biblica	1973	bekker	4	2
Biblica	1973	homer	1	1
Biblica	1973	stephanus	14	7
Biblica	1974	ambiguous	211	38
Biblica	1974	bekker	7	3
Biblica	1974	stephanus	11	7
Biblica	1975	ambiguous	277	32
Biblica	1975	bekker	3	2
Biblica	1975	homer	7	1
Biblica	1975	nt	5	1
Biblica	1975	stephanus	41	11
Biblica	1976	ambiguous	317	35
Biblica	1976	bekker	3	2
Biblica	1976	homer	1	1
Biblica	1976	nt	4	3
Biblica	1976	stephanus	16	8
Biblica	1977	ambiguous	279	40
Biblica	1977	bekker	8	3
Biblica	1977	homer	3	1
Biblica	1977	stephanus	47	17
Biblica	1978	ambiguous	336	34
Biblica	1978	bekker	1	1
Biblica	1978	nt	1	1
Biblica	1978	stephanus	27	11
Biblica	1979	ambiguous	218	30
Biblica	1979	stephanus	27	11
Biblica	1980	ambiguous	287	43
Biblica	1980	bekker	1	1
Biblica	1980	homer	1	1
Biblica	1980	nt	1	1
Biblica	1980	stephanus	36	8
Biblica	1981	ambiguous	245	36
Biblica	1981	bekker	1	1
Biblica	1981	nt	3	3
Biblica	1981	stephanus	15	12
Biblica	1982	ambiguous	265	39
Biblica	1982	bekker	1	1
Biblica	1982	nt	2	1
Biblica	1982	stephanus	35	14
Biblica	1983	ambiguous	382	26
Biblica	1983	bekker	2	1
Biblica	1983	nt	7	2
Biblica	1983	stephanus	80	12
Biblica	1984	ambiguous	222	34
Biblica	1984	homer	2	2
Biblica	1984	nt	1	1
Biblica	1984	stephanus	39	15
Biblica	1985	ambiguous	386	28
Biblica	1985	nt	2	2
Biblica	1985	stephanus	70	8
Biblica	1986	ambiguous	183	27
Biblica	1986	stephanus	8	7
Biblica	1987	ambiguous	265	25
Biblica	1987	homer	1	1
Biblica	1987	stephanus	51	14
Biblica	1988	ambiguous	326	28
Biblica	1988	bekker	2	2
Biblica	1988	nt	1	1
Biblica	1988	stephanus	72	10
Biblica	1989	ambiguous	143	26
Biblica	1989	bekker	1	1
Biblica	1989	homer	1	1
Biblica	1989	nt	2	1
Biblica	1989	stephanus	23	9
Biblica	1990	ambiguous	114	33
Biblica	1990	bekker	2	2
Biblica	1990	stephanus	9	8
Biblica	1991	ambiguous	280	32
Biblica	1991	bekker	2	2
Biblica	1991	stephanus	64	10
Biblica	1992	ambiguous	232	35
Biblica	1992	bekker	2	2
Biblica	1992	homer	1	1
Biblica	1992	stephanus	19	7
Biblica	1993	ambiguous	201	31
Biblica	1993	nt	10	4
Biblica	1993	stephanus	122	8
Biblica	1994	ambiguous	323	38
Biblica	1994	bekker	10	4
Biblica	1994	nt	2	1
Biblica	1994	stephanus	48	12
Biblica	1995	ambiguous	317	35
Biblica	1995	nt	1	1
Biblica	1995	stephanus	45	9
Biblica	1996	ambiguous	428	33
Biblica	1996	stephanus	11	7
Biblica	1997	ambiguous	203	33
Biblica	1997	bekker	18	2
Biblica	1997	stephanus	27	10
Biblica	1998	ambiguous	222	36
Biblica	1998	stephanus	64	17
Biblica	1999	ambiguous	179	30
Biblica	1999	bekker	1	1
Biblica	1999	homer	1	1
Biblica	1999	nt	6	2
Biblica	1999	stephanus	69	12
Biblica	2000	ambiguous	261	26
Biblica	2000	nt	1	1
Biblica	2000	pindar	1	1
Biblica	2000	stephanus	111	13
Biblica	2001	ambiguous	345	31
Biblica	2001	nt	4	2
Biblica	2001	stephanus	113	19
Biblica	2002	ambiguous	223	30
Biblica	2002	bekker	5	2
Biblica	2002	nt	7	2
Biblica	2002	stephanus	37	11
Biblica	2003	ambiguous	279	33
Biblica	2003	bekker	12	4
Biblica	2003	nt	3	3
Biblica	2003	stephanus	61	13
Biblica	2004	ambiguous	209	27
Biblica	2004	bekker	1	1
Biblica	2004	homer	2	2
Biblica	2004	stephanus	24	8
Biblica	2005	ambiguous	184	37
Biblica	2005	bekker	1	1
Biblica	2005	nt	3	2
Biblica	2005	stephanus	19	13
Biblica	2006	ambiguous	149	36
Biblica	2006	bekker	2	1
Biblica	2006	nt	2	1
Biblica	2006	stephanus	16	9
Biblica	2007	ambiguous	278	35
Biblica	2007	homer	1	1
Biblica	2007	nt	9	4
Biblica	2007	stephanus	35	9
Biblica	2008	ambiguous	240	32
Biblica	2008	bekker	9	4
Biblica	2008	stephanus	74	13
Biblica	2009	ambiguous	393	35
Biblica	2009	bekker	14	4
Biblica	2009	homer	4	3
Biblica	2009	nt	1	1
Biblica	2009	stephanus	47	8
Biblica	2010	ambiguous	220	30
Biblica	2010	bekker	6	2
Biblica	2010	nt	10	2
Biblica	2010	stephanus	21	12
Biblica	2011	ambiguous	291	34
Biblica	2011	nt	4	4
Biblica	2011	stephanus	38	14
Biblica	2012	ambiguous	156	32
Biblica	2012	bekker	3	3
Biblica	2012	homer	1	1
Biblica	2012	stephanus	24	8
Biblica	2013	ambiguous	210	33
Biblica	2013	bekker	3	3
Biblica	2013	nt	4	3
Biblica	2013	stephanus	50	14
Biblica	2014	ambiguous	169	26
Biblica	2014	bekker	1	1
Biblica	2014	nt	2	2
Biblica	2014	stephanus	18	12
Biblica	2015	ambiguous	201	26
Biblica	2015	bekker	1	1
Biblica	2015	nt	7	2
Biblica	2015	stephanus	44	10
Biblica	2016	ambiguous	311	34
Biblica	2016	bekker	2	2
Biblica	2016	homer	6	3
Biblica	2016	pindar	1	1
Biblica	2016	stephanus	69	12
Biblica	2017	ambiguous	203	37
Biblica	2017	bekker	7	2
Biblica	2017	nt	1	1
Biblica	2017	stephanus	24	8
Biblica	2018	ambiguous	142	29
Biblica	2018	bekker	4	4
Biblica	2018	homer	4	3
Biblica	2018	nt	3	2
Biblica	2018	stephanus	29	10
Biblica	2019	ambiguous	312	29
Biblica	2019	bekker	1	1
Biblica	2019	homer	5	1
Biblica	2019	nt	7	4
Biblica	2019	stephanus	49	15
Biblica	2020	ambiguous	282	31
Biblica	2020	bekker	4	4
Biblica	2020	nt	4	3
Biblica	2020	stephanus	58	16
Church History	1932	ambiguous	10	3
Church History	1932	stephanus	1	1
Church History	1934	ambiguous	1	1
Church History	1934	nt	5	1
Church History	1935	nt	5	5
Church History	1936	ambiguous	1	1
Church History	1936	stephanus	10	5
Church History	1937	ambiguous	1	1
Church History	1938	ambiguous	4	3
Church History	1938	stephanus	1	1
Church History	1939	ambiguous	5	2
Church History	1939	stephanus	3	3
Church History	1940	ambiguous	1	1
Church History	1940	bekker	1	1
Church History	1940	nt	4	3
Church History	1941	nt	3	2
Church History	1941	stephanus	2	1
Church History	1942	ambiguous	2	2
Church History	1942	stephanus	2	2
Church History	1943	ambiguous	1	1
Church History	1943	bekker	1	1
Church History	1943	nt	11	1
Church History	1943	stephanus	1	1
Church History	1944	ambiguous	3	1
Church History	1944	nt	1	1
Church History	1945	ambiguous	2	2
Church History	1945	nt	1	1
Church History	1946	ambiguous	3	2
Church History	1947	ambiguous	1	1
Church History	1947	nt	3	3
Church History	1947	stephanus	1	1
Church History	1948	ambiguous	2	2
Church History	1948	bekker	5	2
Church History	1948	stephanus	2	2
Church History	1949	ambiguous	3	1
Church History	1949	nt	4	1
Church History	1949	stephanus	1	1
Church History	1950	ambiguous	8	2
Church History	1950	bekker	1	1
Church History	1950	nt	3	2
Church History	1950	stephanus	1	1
Church History	1951	ambiguous	18	6
Church History	1951	bekker	8	1
Church History	1951	nt	15	4
Church History	1951	stephanus	21	4
Church History	1952	ambiguous	4	2
Church History	1952	nt	5	3
Church History	1952	stephanus	2	2
Church History	1953	ambiguous	23	2
Church History	1953	bekker	2	1
Church History	1953	nt	7	3
Church History	1953	stephanus	18	1
Church History	1954	ambiguous	1	1
Church History	1954	nt	19	6
Church History	1955	ambiguous	20	3
Church History	1955	bekker	11	2
Church History	1955	nt	6	3
Church History	1955	stephanus	15	6
Church History	1956	ambiguous	12	3
Church History	1956	nt	5	3
Church History	1957	nt	5	1
Church History	1957	stephanus	7	4
Church History	1958	ambiguous	7	2
Church History	1958	nt	1	1
Church History	1958	stephanus	4	3
Church History	1959	ambiguous	14	2
Church History	1959	nt	14	2
Church History	1959	stephanus	6	1
Church History	1960	ambiguous	40	5
Church History	1960	nt	3	3
Church History	1960	stephanus	7	7
Church History	1961	ambiguous	42	3
Church History	1961	bekker	11	1
Church History	1961	nt	4	3
Church History	1961	stephanus	8	1
Church History	1962	ambiguous	24	6
Church History	1962	bekker	5	2
Church History	1962	nt	14	3
Church History	1962	stephanus	23	5
Church History	1963	ambiguous	2	1
Church History	1963	nt	8	7
Church History	1964	ambiguous	31	4
Church History	1964	nt	5	2
Church History	1964	stephanus	17	4
Church History	1965	ambiguous	19	4
Church History	1965	nt	8	4
Church History	1965	stephanus	12	3
Church History	1966	ambiguous	18	7
Church History	1966	nt	4	3
Church History	1966	stephanus	12	2
Church History	1967	ambiguous	18	5
Church History	1967	bekker	1	1
Church History	1967	nt	1	1
Church History	1967	stephanus	6	3
Church History	1968	ambiguous	4	3
Church History	1968	bekker	1	1
Church History	1968	homer	1	1
Church History	1968	nt	10	4
Church History	1968	stephanus	3	1
Church History	1969	ambiguous	21	7
Church History	1969	bekker	2	2
Church History	1969	nt	5	1
Church History	1969	stephanus	1	1
Church History	1970	ambiguous	16	3
Church History	1970	bekker	3	1
Church History	1970	nt	8	4
Church History	1970	pindar	1	1
Church History	1970	stephanus	21	3
Church History	1971	ambiguous	16	5
Church History	1971	bekker	1	1
Church History	1971	nt	3	3
Church History	1971	stephanus	14	4
Church History	1972	ambiguous	7	2
Church History	1972	nt	6	2
Church History	1972	stephanus	3	1
Church History	1973	ambiguous	56	7
Church History	1973	bekker	4	3
Church History	1973	nt	10	4
Church History	1973	stephanus	34	5
Church History	1974	ambiguous	30	6
Church History	1974	bekker	1	1
Church History	1974	nt	28	5
Church History	1974	stephanus	9	4
Church History	1975	ambiguous	13	9
Church History	1975	bekker	2	2
Church History	1975	nt	6	2
Church History	1975	stephanus	13	10
Church History	1976	ambiguous	9	4
Church History	1976	bekker	4	2
Church History	1976	nt	1	1
Church History	1976	stephanus	11	4
Church History	1977	ambiguous	20	6
Church History	1977	bekker	3	3
Church History	1977	nt	7	4
Church History	1977	stephanus	7	3
Church History	1978	ambiguous	11	2
Church History	1978	bekker	2	2
Church History	1978	stephanus	1	1
Church History	1979	ambiguous	31	2
Church History	1979	nt	3	2
Church History	1979	stephanus	25	2
Church History	1980	ambiguous	9	6
Church History	1980	bekker	2	1
Church History	1980	stephanus	9	2
Church History	1981	ambiguous	14	3
Church History	1981	bekker	1	1
Church History	1981	nt	25	9
Church History	1981	stephanus	3	1
Church History	1982	ambiguous	5	3
Church History	1982	bekker	2	2
Church History	1982	nt	4	1
Church History	1982	stephanus	3	3
Church History	1983	bekker	1	1
Church History	1983	nt	13	7
Church History	1983	stephanus	13	2
Church History	1984	ambiguous	7	5
Church History	1984	bekker	1	1
Church History	1984	nt	4	2
Church History	1984	stephanus	2	2
Church History	1985	ambiguous	20	3
Church History	1985	bekker	4	2
Church History	1985	nt	14	8
Church History	1985	stephanus	17	4
Church History	1986	ambiguous	26	4
Church History	1986	bekker	6	1
Church History	1986	homer	1	1
Church History	1986	nt	1	1
Church History	1986	stephanus	30	2
Church History	1987	ambiguous	7	3
Church History	1987	bekker	3	1
Church History	1987	nt	3	3
Church History	1987	stephanus	10	3
Church History	1988	ambiguous	17	5
Church History	1988	bekker	2	1
Church History	1988	nt	16	5
Church History	1988	stephanus	13	1
Church History	1989	ambiguous	11	5
Church History	1989	bekker	4	1
Church History	1989	nt	5	5
Church History	1989	stephanus	12	8
Church History	1990	ambiguous	5	5
Church History	1990	nt	16	9
Church History	1991	ambiguous	8	8
Church History	1991	bekker	9	2
Church History	1991	homer	1	1
Church History	1991	nt	4	3
Church History	1991	stephanus	4	3
Church History	1992	ambiguous	40	8
Church History	1992	bekker	1	1
Church History	1992	nt	6	5
Church History	1992	stephanus	12	2
Church History	1993	ambiguous	14	4
Church History	1993	bekker	8	2
Church History	1993	nt	4	2
Church History	1993	stephanus	15	4
Church History	1994	ambiguous	8	1
Church History	1994	bekker	1	1
Church History	1994	nt	4	2
Church History	1994	stephanus	13	1
Church History	1995	ambiguous	13	7
Church History	1995	bekker	4	2
Church History	1995	nt	9	4
Church History	1995	stephanus	7	6
Church History	1996	ambiguous	8	3
Church History	1996	bekker	1	1
Church History	1996	stephanus	10	4
Church History	1997	ambiguous	24	11
Church History	1997	nt	2	1
Church History	1997	stephanus	12	5
Church History	1998	ambiguous	10	7
Church History	1998	nt	20	5
Church History	1998	stephanus	20	3
Church History	1999	ambiguous	25	7
Church History	1999	bekker	2	1
Church History	1999	nt	16	9
Church History	1999	stephanus	5	4
Church History	2000	ambiguous	64	8
Church History	2000	bekker	1	1
Church History	2000	nt	23	7
Church History	2000	stephanus	45	4
Church History	2001	ambiguous	20	4
Church History	2001	bekker	1	1
Church History	2001	nt	14	6
Church History	2001	stephanus	7	5
Church History	2002	ambiguous	4	4
Church History	2002	nt	1	1
Church History	2002	stephanus	17	4
Church History	2003	ambiguous	6	3
Church History	2003	bekker	1	1
Church History	2003	nt	5	3
Church History	2003	stephanus	3	1
Church History	2004	ambiguous	5	3
Church History	2004	bekker	3	2
Church History	2004	nt	13	5
Church History	2004	stephanus	13	4
Church History	2005	ambiguous	8	3
Church History	2005	bekker	1	1
Church History	2005	nt	6	3
Church History	2005	stephanus	7	4
Church History	2006	ambiguous	9	7
Church History	2006	bekker	3	3
Church History	2006	homer	1	1
Church History	2006	nt	5	4
Church History	2006	stephanus	10	4
Church History	2007	ambiguous	10	4
Church History	2007	bekker	1	1
Church History	2007	nt	2	1
Church History	2007	stephanus	4	3
Church History	2008	ambiguous	35	12
Church History	2008	bekker	7	1
Church History	2008	homer	7	2
Church History	2008	nt	27	3
Church History	2008	stephanus	23	11
Church History	2009	ambiguous	82	11
Church History	2009	nt	2	2
Church History	2009	stephanus	16	6
Church History	2010	ambiguous	22	10
Church History	2010	nt	3	2
Church History	2010	stephanus	6	5
Church History	2011	ambiguous	19	6
Church History	2011	bekker	2	2
Church History	2011	stephanus	6	6
Church History	2012	ambiguous	15	9
Church History	2012	bekker	2	1
Church History	2012	nt	6	4
Church History	2012	stephanus	11	9
Church History	2013	ambiguous	50	11
Church History	2013	bekker	6	2
Church History	2013	nt	11	3
Church History	2013	stephanus	20	12
Church History	2014	ambiguous	29	12
Church History	2014	nt	22	3
Church History	2014	stephanus	21	9
Church History	2015	ambiguous	25	14
Church History	2015	nt	9	2
Church History	2015	stephanus	21	8
Church History	2016	ambiguous	57	11
Church History	2016	nt	2	2
Church History	2016	stephanus	8	5
Church History	2017	ambiguous	77	16
Church History	2017	bekker	5	3
Church History	2017	nt	9	2
Church History	2017	stephanus	23	10
Church History	2018	ambiguous	14	9
Church History	2018	nt	3	3
Church History	2018	stephanus	24	8
Church History	2019	ambiguous	29	12
Church History	2019	bekker	4	2
Church History	2019	homer	2	2
Church History	2019	nt	4	2
Church History	2019	stephanus	21	9
Church History	2020	ambiguous	43	15
Church History	2020	bekker	2	2
Church History	2020	nt	4	3
Church History	2020	stephanus	13	7
Classical Antiquity	1982	ambiguous	144	8
Classical Antiquity	1982	bekker	6	3
Classical Antiquity	1982	homer	14	4
Classical Antiquity	1982	pindar	3	3
Classical Antiquity	1982	stephanus	106	10
Classical Antiquity	1983	ambiguous	219	14
Classical Antiquity	1983	bekker	107	8
Classical Antiquity	1983	homer	54	11
Classical Antiquity	1983	pindar	10	3
Classical Antiquity	1983	stephanus	73	16
Classical Antiquity	1984	ambiguous	215	10
Classical Antiquity	1984	bekker	7	4
Classical Antiquity	1984	homer	6	4
Classical Antiquity	1984	pindar	2	2
Classical Antiquity	1984	stephanus	23	5
Classical Antiquity	1985	ambiguous	159	8
Classical Antiquity	1985	bekker	13	4
Classical Antiquity	1985	homer	10	5
Classical Antiquity	1985	nt	3	1
Classical Antiquity	1985	pindar	3	1
Classical Antiquity	1985	stephanus	124	5
Classical Antiquity	1986	ambiguous	76	8
Classical Antiquity	1986	bekker	64	5
Classical Antiquity	1986	homer	6	4
Classical Antiquity	1986	stephanus	73	5
Classical Antiquity	1987	ambiguous	16	6
Classical Antiquity	1987	bekker	17	8
Classical Antiquity	1987	homer	55	5
Classical Antiquity	1987	pindar	11	5
Classical Antiquity	1987	stephanus	10	8
Classical Antiquity	1988	ambiguous	58	9
Classical Antiquity	1988	bekker	24	4
Classical Antiquity	1988	homer	28	6
Classical Antiquity	1988	pindar	6	3
Classical Antiquity	1988	stephanus	39	5
Classical Antiquity	1989	ambiguous	47	14
Classical Antiquity	1989	bekker	11	8
Classical Antiquity	1989	homer	66	9
Classical Antiquity	1989	pindar	1	1
Classical Antiquity	1989	stephanus	30	8
Classical Antiquity	1990	ambiguous	62	9
Classical Antiquity	1990	bekker	17	5
Classical Antiquity	1990	homer	37	9
Classical Antiquity	1990	pindar	1	1
Classical Antiquity	1990	stephanus	62	9
Classical Antiquity	1991	ambiguous	71	10
Classical Antiquity	1991	bekker	14	5
Classical Antiquity	1991	homer	70	7
Classical Antiquity	1991	pindar	16	1
Classical Antiquity	1991	stephanus	71	7
Classical Antiquity	1992	ambiguous	108	12
Classical Antiquity	1992	bekker	36	7
Classical Antiquity	1992	homer	28	9
Classical Antiquity	1992	pindar	4	2
Classical Antiquity	1992	stephanus	116	10
Classical Antiquity	1993	ambiguous	99	9
Classical Antiquity	1993	bekker	40	5
Classical Antiquity	1993	homer	48	9
Classical Antiquity	1993	pindar	1	1
Classical Antiquity	1993	stephanus	21	6
Classical Antiquity	1994	ambiguous	15	7
Classical Antiquity	1994	bekker	16	3
