Request roster: 283,574 iids.
Metadata: scanned 12,565,921 catalogue records, kept 283,574 matching our request.
  …256,000 records | 1,676,307 pages | 554,250 matches
  …258,000 records | 1,690,282 pages | 558,277 matches
  …260,000 records | 1,704,487 pages | 563,314 matches
  …262,000 records | 1,719,206 pages | 566,375 matches
  …264,000 records | 1,733,425 pages | 569,861 matches
  …266,000 records | 1,747,387 pages | 573,153 matches
  …268,000 records | 1,761,649 pages | 576,305 matches
  …270,000 records | 1,775,805 pages | 584,135 matches
  …272,000 records | 1,789,014 pages | 587,351 matches
  …274,000 records | 1,803,681 pages | 590,475 matches
  …276,000 records | 1,817,665 pages | 594,975 matches
  …278,000 records | 1,831,987 pages | 598,568 matches
  …280,000 records | 1,845,722 pages | 601,216 matches
  …282,000 records | 1,859,861 pages | 605,137 matches
================================================================
delivery records : 283,574
pages scanned    : 1,870,831
citation matches : 607,773
records w/o metadata match: 0
   ambiguous : 299,346
   stephanus : 124,897
   bekker    : 79,110
   nt        : 62,291
   homer     : 37,198
   pindar    : 4,931
================================================================
COVERAGE — delivered vs requested
  requested : 283,574
  delivered : 283,574
  matched   : 283,574
  missing   : 0
  extra     : 0

  flagged drop ab0e7253-8739-3667-b98e-025ad9fd37f5: NOT the missing one
  No silent drops: flagged item is the only omission.

Wrote citations.tsv, citation_summary.tsv, coverage_report.txt
